Statement,True,False
"Democrats have lost more than 900 state legislators since Barack Obama has been president. Since President Obama took office, over 88,000 Ohio workers have lost their jobs.",1.0,0.0
"""Obama Announces Bid To Become UN Secretary General"". Says President Barack Obama got a pass over controversalremarks byRev Jeremiah Wright, while a12-year-old speech by House Majority Whip Steve Scalise hasblown up into a national story.",0.0,1.0
"Says Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry. Says Bernie Sanders ""opposed Obamacare, didn't like the fact we didn't push a single-payer option."".",0.5,0.5
"We got the highest vote count in the history of the Republican Party. ""I've had tremendous Republican support. I have a 90% — 94% approval rating, as of this morning, in the Republican Party. That's an all-time record."".",1.0,0.0
"People (are) paying more in taxes than they will for food, housing and clothing combined. Americans will spend more on taxes in 2014 than they will on food, clothing and housing combined.",1.0,0.0
"""For example, when the COVID-19 pandemic hit, my Administration implemented a program to provide any individual without health-insurance coverage access to necessary COVID‑19‑related testing and treatment."". Says that shutdowns are ""ineffective"" and that we now know that COVID-19 is not commonly spread ""by someone going to work."".",0.5,0.5
U.S. Senate candidate Jack Kingston requested more earmarks than any other GA Congressman and all GA GOP members combined. (Jack Kingston) had more earmarks at one time than every member of the Georgia delegation put together.,0.5,0.5
"We know that President Obama stole over $500 billion out of Medicare to switch it over to Obamacare. Says Kurt Schrader voted to cut $500 billion from Medicare, threatening thousands of Oregon seniors and their access to their current coverage.",0.0,1.0
"Says Marco Rubio went on Univision, and in Spanish he promised that he would not on the first day in office rescind President Obamas illegal executive action. Rather than work to secure the border, (Marco Rubio) supported Obamas amnesty plan for illegal immigrants.",0.5,0.5
"The children coming across the southern U.S. border were never examined after they got here and quarantined if they had a disease. They were just sent out across the country. Many of them had measles ... We now have an outbreak of it all because of our immigration policy. ""if your child gets this virus their going to hospital alone in a van with people they don't know...to be with people they don't know… you will be at home without them in their time of need."".",0.0,1.0
"Says Russ Feingold voted to give Social Security benefits to illegal immigrants. Says Russ Feingold voted to raise taxes on Social Security benefits for seniors, he even tried to give Social Security benefits to illegal immigrants.",0.0,1.0
A hidden provision in the health care law taxes sporting goods as medical devices. A hidden provision in Obamacare taxes sporting goods as medical devices.,0.0,1.0
"Says Obama wants to redesign the American flag ""to better offer our enemies hope and love."". Barack Obama loves Che Guevara.",0.0,1.0
The name Frank has risen in popularity by 20 percent since the debut of House of Cardson Netflix. Says Lee Leffingwell raised property taxes 20 percent in three years.,0.5,0.5
I have never voted for a tax increase. Ive never supported a payroll tax.,0.0,1.0
"Our children's safety is potentially at risk because nearly half of the apple juice consumed by our children comes from apples grown in China. A bag of Cheetos costs less to buy than an apple, and in some Milwaukee neighborhoods good luck trying to find an apple or a banana or some sort of healthy option.",1.0,0.0
Says Alex Sink supported higher sales taxes. Says Alex Sink even supported a tax on homeowners insurance policies.,0.5,0.5
The health insurance plan that (members of Congress) have is no different than any other federal employees in the United States government. We are the only industrialized nation that relies heavily on a for-profit medical insurance industry to provide basic health care.,1.0,0.0
I was never against same-sex marriage. Pam Bondi refuses to take a position on the gay-adoption ban.,0.5,0.5
"As president, Barack Obama has never visited Israel. Obama ""has no experience or background at all in national security affairs."".",0.5,0.5
Says Lee Leffingwell raised property taxes 20 percent in three years. Says Mitt Romney raised business taxes 20 percent in Massachusetts.,1.0,0.0
"It has been estimated that nearly 40 percent of all guns sold in America are sold by private, unlicensed sellers either online or through gun shows. Al-Qaida operatives, have said, Hey, we want you to use this loophole (for purchasing guns despite being on a watch list) to attack and kill Americans.",0.5,0.5
"On choosing a Texas House speaker. The Supreme Court ""has decided to take up the Texas case."".",0.0,1.0
"Says neither President Barack Obama nor Mexico President Felipe Calderon have been on the border to see whats happening to the citizens of Mexico, and for that matter the citizens of Texas. Says President Barack Obama has not raised taxes.",0.5,0.5
"Says Gov. Rick Scott returned $1 million in federal funding that would have helped the state cover the cost of overseeing insurance rates under the new health care law. If Gov. Rick Scott activates the National Guard in anticipation of a federal disaster, the states costs, including the costs to recall any furloughed guardsmen, will be fully reimbursable by FEMA.",0.5,0.5
Recent data showed Nevada ranks 50th in the money received from the stimulus bill. Says New Jersey is 50th in return of our federal tax dollars.,0.5,0.5
Social Security is a Ponzi scheme. Social Security and Medicare are a Ponzi scheme.,0.0,1.0
"It has been estimated that nearly 40 percent of all guns sold in America are sold by private, unlicensed sellers either online or through gun shows. We sell 40 percent of our guns without a background check.",0.5,0.5
"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there. Obamacare means that for up to 20 million Americans, they will lose the insurance they currently have, the insurance that they like and they want to keep.",0.0,1.0
The @nytimes states today that DJT believes more countries should acquire nuclear weapons. How dishonest are they. I never said this! U.S. Sen. Lindsey Graham says South Carolina has a labor shortage and wants more immigration.,0.0,1.0
"Bill Nelsons vote for the Affordable Care Act cuts $500 billion from Medicare to pay for new government programs. Ganley said that if elected, he wants to cut the dickens out of Social Security, Medicare and Veterans benefits.",0.0,1.0
"Youre more likely to get struck by lightning in Texas thanfind in-person voter fraud. Right now, an employer has more of a chance of getting hit by lightning than be prosecuted for hiring an undocumented worker. That has to change.",0.5,0.5
"""There is no science or data to suggest that kids are at risk from COVID."". Says a recent study found no asymptomatic or presymptomatic spread of COVID.",0.0,1.0
"You cant build a Christian church in Saudi Arabia. ""I have no financial interests in Saudi Arabia."".",1.0,0.0
